Freq.	V(n002)
Step Information: X=20  (Step: 1/3)
9.00000000000000e+03	(-5.00721385649299e+01dB,8.70101175213655e+01°)
9.03124573658553e+03	(-4.99343554331976e+01dB,8.69820004703057e+01°)
9.06259995051047e+03	(-4.97944596862481e+01dB,8.69528684846384e+01°)
9.09406301838088e+03	(-4.96523823294146e+01dB,8.69226727736422e+01°)
9.12563531811026e+03	(-4.95080509912745e+01dB,8.68913613243533e+01°)
9.15731722892418e+03	(-4.93613897000123e+01dB,8.68588786314876e+01°)
9.18910913136474e+03	(-4.92123186409839e+01dB,8.68251653997550e+01°)
9.22101140729521e+03	(-4.90607538935550e+01dB,8.67901582152170e+01°)
9.25302443990460e+03	(-4.89066071450570e+01dB,8.67537891818505e+01°)
9.28514861371223e+03	(-4.87497853794313e+01dB,8.67159855189543e+01°)
9.31738431457240e+03	(-4.85901905378339e+01dB,8.66766691144150e+01°)
9.34973192967898e+03	(-4.84277191481164e+01dB,8.66357560280131e+01°)
9.38219184757010e+03	(-4.82622619197043e+01dB,8.65931559382333e+01°)
9.41476445813277e+03	(-4.80937032999265e+01dB,8.65487715248485e+01°)
9.44745015260761e+03	(-4.79219209873189e+01dB,8.65024977784616e+01°)
9.48024932359353e+03	(-4.77467853968068e+01dB,8.64542212267197e+01°)
9.51316236505243e+03	(-4.75681590709537e+01dB,8.64038190652352e+01°)
9.54618967231396e+03	(-4.73858960306320e+01dB,8.63511581792342e+01°)
9.57933164208025e+03	(-4.71998410574955e+01dB,8.62960940395931e+01°)
9.61258867243067e+03	(-4.70098288994983e+01dB,8.62384694540527e+01°)
9.64596116282665e+03	(-4.68156833893637e+01dB,8.61781131509115e+01°)
9.67944951411641e+03	(-4.66172164643355e+01dB,8.61148381685201e+01°)
9.71305412853985e+03	(-4.64142270736804e+01dB,8.60484400187032e+01°)
9.74677540973333e+03	(-4.62064999582055e+01dB,8.59786945862640e+01°)
9.78061376273453e+03	(-4.59938042834249e+01dB,8.59053557193694e+01°)
9.81456959398733e+03	(-4.57758921048743e+01dB,8.58281524563100e+01°)
9.84864331134666e+03	(-4.55524966403061e+01dB,8.57467858232200e+01°)
9.88283532408346e+03	(-4.53233303189647e+01dB,8.56609251231846e+01°)
9.91714604288951e+03	(-4.50880825726596e+01dB,8.55702036202479e+01°)
9.95157587988243e+03	(-4.48464173266883e+01dB,8.54742134999377e+01°)
9.98612524861062e+03	(-4.45979701405354e+01dB,8.53724999611538e+01°)
1.00207945640582e+04	(-4.43423449382920e+01dB,8.52645542597619e+01°)
1.00555842426500e+04	(-4.40791102564472e+01dB,8.51498054805706e+01°)
1.00904947022566e+04	(-4.38077949214548e+01dB,8.50276107586576e+01°)
1.01255263621993e+04	(-4.35278830504735e+01dB,8.48972435985147e+01°)
1.01606796432552e+04	(-4.32388082448484e+01dB,8.47578798457999e+01°)
1.01959549676622e+04	(-4.29399468158266e+01dB,8.46085807435758e+01°)
1.02313527591241e+04	(-4.26306098438103e+01dB,8.44482723422650e+01°)
1.02668734428158e+04	(-4.23100338236025e+01dB,8.42757203162603e+01°)
1.03025174453882e+04	(-4.19773695851960e+01dB,8.40894989488379e+01°)
1.03382851949733e+04	(-4.16316690980033e+01dB,8.38879526513502e+01°)
1.03741771211898e+04	(-4.12718696596253e+01dB,8.36691478393910e+01°)
1.04101936551476e+04	(-4.08967748293672e+01dB,8.34308122340568e+01°)
1.04463352294535e+04	(-4.05050312792643e+01dB,8.31702575954240e+01°)
1.04826022782161e+04	(-4.00951004836929e+01dB,8.28842803842874e+01°)
1.05189952370512e+04	(-3.96652238275584e+01dB,8.25690326645582e+01°)
1.05555145430869e+04	(-3.92133792463501e+01dB,8.22198523559060e+01°)
1.05921606349689e+04	(-3.87372268665965e+01dB,8.18310371687268e+01°)
1.06289339528658e+04	(-3.82340402160526e+01dB,8.13955392997794e+01°)
1.06658349384743e+04	(-3.77006183078158e+01dB,8.09045467347716e+01°)
1.07028640350245e+04	(-3.71331721094922e+01dB,8.03468992374917e+01°)
1.07400216872855e+04	(-3.65271763559453e+01dB,7.97082583413036e+01°)
1.07773083415704e+04	(-3.58771740351595e+01dB,7.89699028841366e+01°)
1.08147244457417e+04	(-3.51765157833754e+01dB,7.81069400319750e+01°)
1.08522704492169e+04	(-3.44170095457198e+01dB,7.70855780433481e+01°)
1.08899468029737e+04	(-3.35884474934785e+01dB,7.58588454220350e+01°)
1.09277539595554e+04	(-3.26779702113446e+01dB,7.43596475045097e+01°)
1.09656923730767e+04	(-3.16692345648208e+01dB,7.24890849258965e+01°)
